id,municipio,id_municipio,uf,longitude,latitude
3506805,Bocaina,4808.0,SP,-48.523044,-22.136538
3506904,Bofete,4809.0,SP,-48.258203,-23.105543
3507001,Boituva,4810.0,SP,-47.678574,-23.285531
3507100,Bom Jesus dos Perdões,4811.0,SP,-46.467474,-23.135579
3507159,Bom Sucesso de Itararé,4812.0,SP,-49.145104,-24.315511
3507209,Borá,4813.0,SP,-50.540919,-22.269627
3507308,Boracéia,4814.0,SP,-48.780751,-22.192645
3507407,Borborema,4815.0,SP,-49.074089,-21.621368
3507456,Borebi,4816.0,SP,-48.970749,-22.572763
3507506,Botucatu,4817.0,SP,-48.443706,-22.883697
3507605,Bragança Paulista,4818.0,SP,-46.54188,-22.952681
3507704,Braúna,4819.0,SP,-50.317489,-21.499039
3507753,Brejo Alegre,4820.0,SP,-50.186076,-21.165147
3507803,Brodowski,4821.0,SP,-47.657217,-20.984532
3507902,Brotas,4822.0,SP,-48.125115,-22.279476
3508009,Buri,4823.0,SP,-48.595811,-23.797689
3508108,Buritama,4824.0,SP,-50.147494,-21.066064
3508207,Buritizal,4825.0,SP,-47.709636,-20.191084
3508306,Cabrália Paulista,4826.0,SP,-49.339337,-22.45756
3508405,Cabreúva,4827.0,SP,-47.136251,-23.30533
3508504,Caçapava,4828.0,SP,-45.707645,-23.099204
3508603,Cachoeira Paulista,4829.0,SP,-45.015384,-22.666498
3508702,Caconde,4830.0,SP,-46.643659,-21.527995
3508801,Cafelândia,4831.0,SP,-49.609213,-21.803112
3508900,Caiabu,4832.0,SP,-51.239408,-22.012719
3509007,Caieiras,4833.0,SP,-46.73974,-23.360729
3509106,Caiuá,4834.0,SP,-51.996918,-21.832164
3509205,Cajamar,4835.0,SP,-46.878146,-23.355014
3509254,Cajati,4836.0,SP,-48.122347,-24.73239
3509304,Cajobi,4837.0,SP,-48.806336,-20.877287
3509403,Cajuru,4838.0,SP,-47.303022,-21.274934
3509452,Campina do Monte Alegre,4839.0,SP,-48.4758,-23.58948
3509502,Campinas,4840.0,SP,-47.06595,-22.905346
3509601,Campo Limpo Paulista,4841.0,SP,-46.788919,-23.207791
3509700,Campos do Jordão,4842.0,SP,-45.583337,-22.729618
3509809,Campos Novos Paulista,4843.0,SP,-49.998726,-22.601952
3509908,Cananéia,4844.0,SP,-47.934074,-25.014428
3509957,Canas,4845.0,SP,-45.052117,-22.700344
3510005,Cândido Mota,4846.0,SP,-50.387326,-22.747093
3510104,Cândido Rodrigues,4847.0,SP,-48.632719,-21.327531
3510153,Canitar,4848.0,SP,-49.783947,-23.004014
3510203,Capão Bonito,4849.0,SP,-48.348222,-24.011265
3510302,Capela do Alto,4850.0,SP,-47.738834,-23.468471
3510401,Capivari,4851.0,SP,-47.50715,-22.995144
3510500,Caraguatatuba,4852.0,SP,-45.412533,-23.612535
3510609,Carapicuíba,4853.0,SP,-46.840676,-23.523471
3510708,Cardoso,4854.0,SP,-49.918322,-20.080031
3510807,Casa Branca,4855.0,SP,-47.085245,-21.77081
3510906,Cássia dos Coqueiros,4856.0,SP,-47.164327,-21.280082
3511003,Castilho,4857.0,SP,-51.488394,-20.868924
3511102,Catanduva,4858.0,SP,-48.977015,-21.131381
3511201,Catiguá,4859.0,SP,-49.06162,-21.051861
3511300,Cedral,4860.0,SP,-49.266426,-20.900949
3511409,Cerqueira César,4861.0,SP,-49.165524,-23.037999
3511508,Cerquilho,4862.0,SP,-47.745862,-23.166487
3511607,Cesário Lange,4863.0,SP,-47.954453,-23.226035
3511706,Charqueada,4864.0,SP,-47.775468,-22.50958
3511904,Clementina,4866.0,SP,-50.452476,-21.560447
3512001,Colina,4867.0,SP,-48.53867,-20.711443
3512100,Colômbia,4868.0,SP,-48.686468,-20.176771
3512209,Conchal,4869.0,SP,-47.172927,-22.337512
3512308,Conchas,4870.0,SP,-48.013391,-23.01543
3512407,Cordeirópolis,4871.0,SP,-47.451886,-22.477778
3512506,Coroados,4872.0,SP,-50.285937,-21.352082
3512605,Coronel Macedo,4873.0,SP,-49.309966,-23.626143
3512704,Corumbataí,4874.0,SP,-47.621451,-22.221334
3512803,Cosmópolis,4875.0,SP,-47.192578,-22.641906
3512902,Cosmorama,4876.0,SP,-49.782747,-20.475472
3513009,Cotia,4877.0,SP,-46.91902,-23.602177
3513108,Cravinhos,4878.0,SP,-47.732427,-21.337959
3513207,Cristais Paulista,4879.0,SP,-47.420915,-20.403569
3513306,Cruzália,4880.0,SP,-50.790909,-22.737309
3513405,Cruzeiro,4881.0,SP,-44.96896,-22.572764
3513504,Cubatão,4882.0,SP,-46.423968,-23.891121
3513603,Cunha,4883.0,SP,-44.957559,-23.0731
3513702,Descalvado,4884.0,SP,-47.618105,-21.900211
3513801,Diadema,4885.0,SP,-46.62052,-23.681347
3513850,Dirce Reis,4886.0,SP,-50.607335,-20.464207
3513900,Divinolândia,4887.0,SP,-46.736128,-21.663709
3514007,Dobrada,4888.0,SP,-48.393476,-21.515533
3514106,Dois Córregos,4889.0,SP,-48.381924,-22.367291
3514205,Dolcinópolis,4890.0,SP,-50.514898,-20.124047
3514304,Dourado,4891.0,SP,-48.317823,-22.104436
3514403,Dracena,4892.0,SP,-51.535034,-21.484311
3514502,Duartina,4893.0,SP,-49.408355,-22.414562
3514601,Dumont,4894.0,SP,-47.975622,-21.232401
3514700,Echaporã,4895.0,SP,-50.203787,-22.43256
3514809,Eldorado,4896.0,SP,-48.114085,-24.52809
3514908,Elias Fausto,4897.0,SP,-47.368153,-23.042822
3514924,Elisiário,4898.0,SP,-49.114594,-21.167754
3514957,Embaúba,4899.0,SP,-48.832452,-20.979595
3515004,Embu,4900.0,SP,-46.857854,-23.643717
3515103,Embu-Guaçu,4901.0,SP,-46.813593,-23.829717
3515129,Emilianópolis,4902.0,SP,-51.483168,-21.831436
3515152,Engenheiro Coelho,4903.0,SP,-47.211045,-22.483573
3515186,Espírito Santo do Pinhal,4904.0,SP,-46.74767,-22.190871
3515194,Espírito Santo do Turvo,4905.0,SP,-49.434119,-22.69254
3515301,Estrela do Norte,4908.0,SP,-51.663203,-22.485935
3515350,Euclides da Cunha Paulista,4909.0,SP,-52.592779,-22.55452
3515400,Fartura,4910.0,SP,-49.512403,-23.391643
3515509,Fernandópolis,4911.0,SP,-50.247115,-20.280556
3515608,Fernando Prestes,4912.0,SP,-48.687384,-21.266061
3515657,Fernão,4913.0,SP,-49.518735,-22.36066
3515707,Ferraz de Vasconcelos,4914.0,SP,-46.37097,-23.541056
3515806,Flora Rica,4915.0,SP,-51.382107,-21.672738
3515905,Floreal,4916.0,SP,-50.151282,-20.675193
3516002,Flórida Paulista,4917.0,SP,-51.172445,-21.612711
3516101,Florínia,4918.0,SP,-50.732976,-22.902483
3516200,Franca,4919.0,SP,-47.403861,-20.53523
3516309,Francisco Morato,4920.0,SP,-46.744781,-23.279248
3516408,Franco da Rocha,4921.0,SP,-46.729011,-23.322882
3516507,Gabriel Monteiro,4922.0,SP,-50.557321,-21.52941
3516606,Gália,4923.0,SP,-49.550356,-22.291846
3516705,Garça,4924.0,SP,-49.654596,-22.212516
3516804,Gastão Vidigal,4925.0,SP,-50.191183,-20.794776
3516853,Gavião Peixoto,4926.0,SP,-48.49566,-21.836658
3516903,General Salgado,4927.0,SP,-50.36397,-20.648458
3517000,Getulina,4928.0,SP,-49.931205,-21.796117
3517109,Glicério,4929.0,SP,-50.212269,-21.381193
3517208,Guaiçara,4930.0,SP,-49.801287,-21.619537
3517307,Guaimbê,4931.0,SP,-49.89861,-21.909072
3517406,Guaíra,4932.0,SP,-48.31197,-20.319591
3517505,Guapiaçu,4933.0,SP,-49.217201,-20.795885
3517604,Guapiara,4934.0,SP,-48.529549,-24.18921
3517703,Guará,4935.0,SP,-47.823626,-20.430162
3517802,Guaraçaí,4936.0,SP,-51.211854,-21.029173
3517901,Guaraci,4937.0,SP,-48.939107,-20.49766
3518107,Guarantã,4939.0,SP,-49.591351,-21.894195
3518206,Guararapes,4940.0,SP,-50.645338,-21.254431
3518305,Guararema,4941.0,SP,-46.036946,-23.411195
3518404,Guaratinguetá,4942.0,SP,-45.193788,-22.807534
3518503,Guareí,4943.0,SP,-48.183715,-23.371359
3518602,Guariba,4944.0,SP,-48.23158,-21.35938
3518701,Guarujá,4945.0,SP,-46.257959,-23.988798
3518800,Guarulhos,4946.0,SP,-46.533347,-23.453758
3518859,Guatapará,4947.0,SP,-48.035588,-21.494444
3518909,Guzolândia,4948.0,SP,-50.664505,-20.646679
3519006,Herculândia,4949.0,SP,-50.390734,-22.003802
3519055,Holambra,4950.0,SP,-47.048694,-22.640513
3519071,Hortolândia,4951.0,SP,-47.214259,-22.852854
3519105,Iacanga,4952.0,SP,-49.030959,-21.889646
3519204,Iacri,4953.0,SP,-50.693152,-21.857199
3519253,Iaras,4954.0,SP,-49.163377,-22.868199
3519303,Ibaté,4955.0,SP,-47.988211,-21.958358
3519402,Ibirá,4956.0,SP,-49.244833,-21.083032
3519501,Ibirarema,4957.0,SP,-50.073901,-22.818537
3519600,Ibitinga,4958.0,SP,-48.831903,-21.75623
3519709,Ibiúna,4959.0,SP,-47.223037,-23.65961
3519808,Icém,4960.0,SP,-49.191546,-20.339067
3519907,Iepê,4961.0,SP,-51.077881,-22.660165
3520004,Igaraçu do Tietê,4962.0,SP,-48.559672,-22.509044
3520103,Igarapava,4963.0,SP,-47.746576,-20.040687
3520202,Igaratá,4964.0,SP,-46.156985,-23.20366
3520301,Iguape,4965.0,SP,-47.553659,-24.699015
3520400,Ilhabela,4966.0,SP,-45.355226,-23.778533
3520426,Ilha Comprida,4967.0,SP,-47.538275,-24.730743
3520442,Ilha Solteira,4968.0,SP,-51.342552,-20.432629
3520509,Indaiatuba,4969.0,SP,-47.210093,-23.081591
3520608,Indiana,4970.0,SP,-51.255467,-22.173779
3520707,Indiaporã,4971.0,SP,-50.290856,-19.978952
3520806,Inúbia Paulista,4972.0,SP,-50.963268,-21.769471
3520905,Ipaussu,4973.0,SP,-49.627911,-23.05753
3521002,Iperó,4974.0,SP,-47.692717,-23.351296
3521101,Ipeúna,4975.0,SP,-47.715086,-22.435513
3521150,Ipiguá,4976.0,SP,-49.384161,-20.655734
3521200,Iporanga,4977.0,SP,-48.597119,-24.584718
3521309,Ipuã,4978.0,SP,-48.012881,-20.443785
3521408,Iracemápolis,4979.0,SP,-47.522963,-22.583234
3521507,Irapuã,4980.0,SP,-49.416398,-21.276832
3521606,Irapuru,4981.0,SP,-51.347171,-21.56839
3521705,Itaberá,4982.0,SP,-49.139987,-23.863827
3521804,Itaí,4983.0,SP,-49.092005,-23.42129
3521903,Itajobi,4984.0,SP,-49.062863,-21.312294
3522000,Itaju,4985.0,SP,-48.811549,-21.985691
3522109,Itanhaém,4986.0,SP,-46.787986,-24.173633
3522158,Itaóca,4987.0,SP,-48.841285,-24.639252
3522208,Itapecerica da Serra,4988.0,SP,-46.857193,-23.716135
3522307,Itapetininga,4989.0,SP,-48.048326,-23.588607
